Sr No	Vehicle.Model	Model.Year	Engine	Module	Base.DTC	Fault.Type.Description	DTC.Relevance	Total.Distance	potential_WS_DTC	DTC_VIN_day	DTC_status_conv	noise	predict	risk_measure	VIN	text_session_date_1	text_occurrence_date_1	text_occurrence_date_2	session date/time	month_diff	mean	ttf	survival_prob	failure_prob
                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         U0447                                                                                                                                                                                                                                      29 signal signal invalid                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                         0_20k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                   FX23189E3AA                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG0HT201441                                                                                                                                                                                                                                                      3-Jul-19                                                                                                                                                                                                                                                     15-Jun-19                                                                                                                                                                                                                                                      14:16:12                                                                                                                                                                                                                                               6/15/2019 14:16                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             2                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         U0447                                                                                                                                                                                                                                      29 signal signal invalid                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                         0_20k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                   FX23189E3AA                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG2HT201490                                                                                                                                                                                                                                                      1-Jul-19                                                                                                                                                                                                                                                      2-Mar-19                                                                                                                                                                                                                                                      11:54:09                                                                                                                                                                                                                                                3/2/2019 11:54                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             3                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         B14AD                                                                                                                                                                                                                                                  31 no signal                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                         0_20k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                 GX7312C520FAH                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG3HT203118                                                                                                                                                                                                                                                      3-Jul-19                                                                                                                                                                                                                                                     24-Sep-18                                                                                                                                                                                                                                                      19:10:13                                                                                                                                                                                                                                               9/24/2018 19:10                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             4                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         U0447                                                                                                                                                                                                                                      29 signal signal invalid                                                                                                                                                                                                                                                             6                                                                                                                                                                                                                                                         0_20k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                   FX23189E3AA                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG3HT203118                                                                                                                                                                                                                                                      3-Jul-19                                                                                                                                                                                                                                                     10-Jun-19                                                                                                                                                                                                                                                      17:01:42                                                                                                                                                                                                                                               6/10/2019 17:01                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             5                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         B14AD                                                                                                                                                                                                                                                  31 no signal                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                       20k_40k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                 GX7312C520FAH                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG6HT201458                                                                                                                                                                                                                                                      2-Jul-19                                                                                                                                                                                                                                                     14-Aug-18                                                                                                                                                                                                                                                      21:06:23                                                                                                                                                                                                                                               8/14/2018 21:06                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             6                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         U0447                                                                                                                                                                                                                                      29 signal signal invalid                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                       20k_40k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                   FX23189E3AA                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG6HT201458                                                                                                                                                                                                                                                      2-Jul-19                                                                                                                                                                                                                                                      8-May-19                                                                                                                                                                                                                                                      18:03:31                                                                                                                                                                                                                                                5/8/2019 18:03                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             7                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2016                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         B14AD                                                                                                                                                                                                                                                  31 no signal                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                         0_20k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                           yes                                                                                                                                                                                                                                                 GX7312C520FAH                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG7GT200639                                                                                                                                                                                                                                                     28-Jun-19                                                                                                                                                                                                                                                     17-Apr-19                                                                                                                                                                                                                                                      15:38:08                                                                                                                                                                                                                                               4/17/2019 15:38                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
                                                                                                                                                                                                                                                             8                                                                                                                                                                                                                                        L550 - Discovery Sport                                                                                                                                                                                                                                                          2017                                                                                                                                                                                                                                             GTDi - 2.0 PETROL                                                                                                                                                                                                                            IPMB - Image Processing Module 'B'                                                                                                                                                                                                                                                         B12BD                                                                                                                                                                                                                            18 circuit current below threshold                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                       20k_40k                                                                                                                                                                                                                                              Non Workshop DTC                                                                                                                                                                                                                                                             1                                                                                                                                                                                                                                  test failed since last clear                                                                                                                                                                                                                                                            no                                                                                                                                                                                                                                                  FW9319H422AB                                                                                                                                                                                                                                                      Low Risk                                                                                                                                                                                                                                             99JCA2BG8HT200991                                                                                                                                                                                                                                                      3-Jul-19                                                                                                                                                                                                                                                      6-Dec-18                                                                                                                                                                                                                                                       1:21:14                                                                                                                                                                                                                                                12/6/2018 1:21                                                                                                                                                                                                                                                            29                                                                                                                                                                                                                                                   29.09009009                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                            NA                                                                                                                                                                                                                                                            NA
